               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.048801,             0.01309,                   0,             0.90263,             0.83658,             0.87207,             0.44572,            0.045678,             0.01237,                   0,           0.0099467,           0.0099467,           0.0099467
                  54,            0.049093,            0.013481,                   0,             0.90471,             0.84258,             0.90191,             0.47182,            0.043722,            0.012395,                   0,           0.0099447,           0.0099447,           0.0099447
                  55,            0.050506,            0.014122,                   0,             0.89836,             0.82157,             0.85909,              0.4198,            0.045778,            0.012495,                   0,           0.0099426,           0.0099426,           0.0099426
                  56,            0.055203,            0.014106,                   0,             0.89836,             0.84858,              0.8702,             0.45394,            0.044302,            0.012676,                   0,           0.0099404,           0.0099404,           0.0099404
                  57,             0.04919,            0.012833,                   0,             0.89828,             0.87706,             0.89787,             0.47405,            0.044472,            0.012518,                   0,           0.0099383,           0.0099383,           0.0099383
                  58,            0.048882,            0.014787,                   0,             0.91637,             0.87068,             0.90181,             0.44226,            0.047268,            0.012574,                   0,            0.009936,            0.009936,            0.009936
                  59,            0.052109,            0.013372,                   0,             0.91218,             0.84095,              0.9009,             0.44404,            0.045363,            0.012561,                   0,           0.0099338,           0.0099338,           0.0099338
                  60,            0.049662,            0.013966,                   0,             0.92671,              0.7976,             0.87848,             0.42868,             0.04548,            0.012502,                   0,           0.0099315,           0.0099315,           0.0099315
                  61,             0.05084,             0.01246,                   0,             0.93331,              0.8051,             0.89016,             0.47464,            0.042724,            0.012374,                   0,           0.0099291,           0.0099291,           0.0099291
                  62,            0.046185,            0.013426,                   0,             0.92349,             0.85307,             0.90392,             0.47871,            0.043842,            0.012294,                   0,           0.0099268,           0.0099268,           0.0099268
                  63,            0.048167,             0.01341,                   0,             0.92016,             0.84665,             0.90312,             0.49552,            0.041837,            0.012259,                   0,           0.0099244,           0.0099244,           0.0099244
                  64,             0.04793,            0.013146,                   0,             0.92768,             0.80771,              0.8856,             0.46161,            0.044731,            0.012357,                   0,           0.0099219,           0.0099219,           0.0099219
                  65,            0.047846,            0.013194,                   0,             0.89624,             0.86807,             0.90398,             0.48808,            0.041485,            0.012148,                   0,           0.0099194,           0.0099194,           0.0099194
                  66,            0.050247,            0.012336,                   0,             0.91478,              0.8051,             0.88835,             0.44472,            0.045575,            0.012332,                   0,           0.0099169,           0.0099169,           0.0099169
                  67,            0.048098,             0.01342,                   0,             0.92799,             0.86949,             0.91181,             0.50904,            0.041492,            0.012111,                   0,           0.0099143,           0.0099143,           0.0099143
                  68,              0.0488,            0.013413,                   0,             0.93417,             0.87236,             0.91219,             0.49635,            0.041085,            0.012111,                   0,           0.0099117,           0.0099117,           0.0099117
                  69,            0.047245,            0.013228,                   0,             0.92377,             0.87256,             0.91149,             0.49086,            0.041026,            0.011918,                   0,           0.0099091,           0.0099091,           0.0099091
                  70,            0.047761,            0.013322,                   0,             0.93482,             0.84408,             0.89606,             0.47343,            0.044493,             0.01212,                   0,           0.0099064,           0.0099064,           0.0099064
                  71,            0.049399,            0.013437,                   0,              0.9225,             0.86357,             0.89861,             0.47414,            0.042694,            0.012174,                   0,           0.0099037,           0.0099037,           0.0099037
                  72,            0.047863,            0.012824,                   0,              0.9177,             0.88602,             0.91149,             0.51062,            0.040251,            0.012041,                   0,           0.0099009,           0.0099009,           0.0099009
                  73,            0.048112,            0.012304,                   0,             0.95371,             0.86487,             0.91421,             0.48162,            0.043069,            0.012286,                   0,           0.0098981,           0.0098981,           0.0098981
                  74,            0.048205,            0.013155,                   0,             0.93123,             0.85607,             0.89944,             0.51129,            0.040507,            0.011966,                   0,           0.0098953,           0.0098953,           0.0098953
                  75,            0.044357,              0.0123,                   0,             0.93643,             0.83921,             0.90766,             0.51868,             0.03848,            0.011972,                   0,           0.0098924,           0.0098924,           0.0098924
                  76,            0.045708,            0.012474,                   0,             0.94772,             0.76462,             0.86491,             0.45683,            0.042681,            0.012025,                   0,           0.0098895,           0.0098895,           0.0098895
                  77,            0.049841,            0.012369,                   0,             0.93586,             0.83208,             0.89297,             0.49984,            0.040702,            0.011937,                   0,           0.0098865,           0.0098865,           0.0098865
                  78,            0.046368,            0.012329,                   0,             0.93295,             0.85757,              0.9039,             0.49577,            0.040062,            0.011979,                   0,           0.0098835,           0.0098835,           0.0098835
                  79,            0.043815,            0.012713,                   0,             0.92707,             0.87671,             0.90842,             0.51288,            0.039519,            0.011662,                   0,           0.0098805,           0.0098805,           0.0098805
                  80,            0.044595,            0.013345,                   0,             0.91354,             0.87556,             0.89858,             0.47907,            0.042036,            0.011792,                   0,           0.0098774,           0.0098774,           0.0098774
                  81,            0.044111,             0.01162,                   0,             0.92541,             0.87706,             0.91363,             0.51877,            0.039257,             0.01158,                   0,           0.0098743,           0.0098743,           0.0098743
                  82,            0.047015,            0.012605,                   0,             0.93466,             0.90068,             0.92566,             0.53811,            0.038881,            0.011611,                   0,           0.0098712,           0.0098712,           0.0098712
                  83,            0.048696,            0.013219,                   0,             0.93963,             0.86346,             0.92037,             0.51318,            0.039078,            0.011936,                   0,            0.009868,            0.009868,            0.009868
                  84,            0.048635,            0.013733,                   0,             0.95233,              0.8686,             0.91769,             0.52139,            0.038526,            0.011882,                   0,           0.0098648,           0.0098648,           0.0098648
                  85,            0.043095,            0.012435,                   0,             0.93391,             0.88306,             0.91787,             0.54847,            0.037681,            0.011537,                   0,           0.0098615,           0.0098615,           0.0098615
                  86,             0.04566,            0.012189,                   0,             0.95172,             0.86807,             0.91955,             0.53454,            0.038667,            0.011506,                   0,           0.0098582,           0.0098582,           0.0098582
                  87,            0.045985,            0.013198,                   0,             0.93767,             0.87957,             0.92245,             0.53032,            0.039113,            0.011544,                   0,           0.0098549,           0.0098549,           0.0098549
                  88,            0.046442,            0.013432,                   0,             0.92493,             0.88756,             0.91424,             0.53715,            0.038796,            0.011584,                   0,           0.0098515,           0.0098515,           0.0098515
                  89,            0.046096,            0.013248,                   0,             0.92056,             0.88605,             0.91061,             0.54227,            0.037847,            0.011488,                   0,           0.0098481,           0.0098481,           0.0098481
                  90,            0.044452,            0.013165,                   0,             0.93889,             0.87528,             0.92071,             0.53379,            0.038805,            0.011523,                   0,           0.0098447,           0.0098447,           0.0098447
                  91,            0.043514,            0.012324,                   0,             0.95081,             0.86933,              0.9169,             0.50046,            0.039053,            0.011535,                   0,           0.0098412,           0.0098412,           0.0098412
                  92,            0.045475,            0.012856,                   0,             0.93618,              0.8797,             0.91494,             0.51372,            0.039718,            0.011581,                   0,           0.0098376,           0.0098376,           0.0098376
                  93,            0.048277,            0.013477,                   0,             0.95129,             0.87841,             0.92001,             0.54027,            0.037505,            0.011433,                   0,           0.0098341,           0.0098341,           0.0098341
                  94,            0.044238,            0.012648,                   0,             0.95475,             0.85411,             0.91483,             0.52734,            0.038983,            0.011344,                   0,           0.0098305,           0.0098305,           0.0098305
                  95,            0.043572,            0.012586,                   0,             0.96106,             0.85607,             0.91692,             0.53966,            0.037231,            0.011313,                   0,           0.0098268,           0.0098268,           0.0098268
                  96,            0.041177,            0.012844,                   0,             0.94717,             0.88906,              0.9202,             0.54812,            0.036281,            0.011057,                   0,           0.0098232,           0.0098232,           0.0098232
                  97,            0.042055,            0.012045,                   0,             0.94792,             0.87322,             0.91803,             0.53499,            0.038243,            0.011175,                   0,           0.0098195,           0.0098195,           0.0098195
                  98,            0.045385,            0.012502,                   0,              0.9616,             0.82593,             0.89884,             0.50482,            0.039901,            0.011506,                   0,           0.0098157,           0.0098157,           0.0098157
                  99,            0.046812,             0.01288,                   0,             0.96358,             0.83304,             0.90881,             0.53738,            0.037394,            0.011527,                   0,           0.0098119,           0.0098119,           0.0098119
                 100,            0.042222,            0.012268,                   0,             0.93169,             0.88456,             0.91284,             0.54012,            0.036973,            0.011349,                   0,           0.0098081,           0.0098081,           0.0098081
                 101,            0.039997,            0.011907,                   0,             0.93739,             0.89791,             0.92305,             0.54437,            0.035926,            0.011123,                   0,           0.0098042,           0.0098042,           0.0098042
                 102,            0.042311,            0.011708,                   0,             0.94568,             0.88739,             0.93651,             0.55876,            0.035917,            0.011123,                   0,           0.0098003,           0.0098003,           0.0098003
                 103,            0.043919,            0.012577,                   0,             0.94356,             0.88306,              0.9269,             0.53577,            0.037624,            0.011287,                   0,           0.0097964,           0.0097964,           0.0097964
                 104,            0.046744,            0.011559,                   0,             0.95049,             0.86347,             0.92712,             0.54063,            0.038659,            0.011458,                   0,           0.0097924,           0.0097924,           0.0097924
                 105,            0.045372,            0.012563,                   0,             0.94682,             0.88095,             0.92837,             0.53691,            0.037054,            0.011533,                   0,           0.0097884,           0.0097884,           0.0097884
                 106,            0.042794,            0.012946,                   0,             0.93484,             0.91004,             0.93908,             0.54395,            0.036908,            0.011295,                   0,           0.0097843,           0.0097843,           0.0097843
